CODIGO;PRODUTO;PALLET;LASTRO;CAIXAS;UNIDADES
2;GAS CARBONICO BRAHMA CILINDRO 1 KG;;;;
3;MIST. SUBST. ODORIF. LIMAO BRAHMA BOMBONA 5L;;;;
8;MIST. SUBST. ODORIF. TUTTI-FRUTTI DINDI BOMBONA 5L;;;;
9;MIST. SUBST. ODORIF. GUARANA E2 BOMBONA 5L KIT C/2;;;;
11;MIST. SUBST. ODORIF. LIMAO SEM MARCA BOMBONA 5L;;;;
12;BRAHMA CHOPP LATA 250ML BANDEJA C/24 IPTC;;;;
13;BRAHMA GUARANA DIET MIX POST-MIX 18L;;;;
14;BRAHMA CHOPP LATA 350ML PLASTISIX BANDEJA C/4;;;;
15;MIST. SUBST. ODORIF. MACA BOMBONA 5L;;;;
16;GAS CARBONICO SKOL CILINDRO 20 KG;;;;
17;GAS CARBONICO SKOL GRANEL;;;;
18;GAS CARBONICO SKOL CILINDRO 18 KG;;;;
19;GAS CARBONICO SKOL CILINDRO 25 KG;;;;
20;GAS CARBONICO SKOL CILINDRO 8 KG;;;;
21;GAS CARBONICO SKOL CILINDRO 23 KG;;;;
22;TEEM 284ML;;;;
23;GAS CARBONICO BRAHMA CILINDRO 45 KG;;;;
24;GAS CARBONICO BRAHMA CILINDRO 6 KG;;;;
25;GAS CARBONICO BRAHMA POST-MIX CILINDRO 6 KG;;;;
26;GAS CARBONICO BRAHMA CILINDRO 9 KG;;;;
27;GAS CARBONICO BRAHMA CILINDRO 2 KG;;;;
28;GAS CARBONICO BRAHMA CILINDRO 7 KG;;;;
29;GAS CARBONICO BRAHMA CILINDRO 18 KG;;;;
30;GAS CARBONICO SKOL CILINDRO 7 KG;;;;
31;BRAHMA CHOPP LATA 350ML SIX-PACK BANDEJA C/4 EXPORTACAO;;;;
32;MIST. SUBST. ODORIF. GUARANA E4/FG BOMBONA 5L KIT C/2 EXPORTACAO  ;;;;
33;MIST. SUBST. ODORIF. GUARANA E4/FG BOMBONA 5L KIT C/2;;;;
36;BRAHMA CHOPP LATA 350ML TWIN-STACK;;;;
39;GELO GRANEL;;;;
40;TEEM MIX POST-MIX 18L;;;;
41;MIRINDA LARANJA MIX POST-MIX 18L;;;;
